Item Code,Count 1,Count 2,Count 3,Theoretical
DL01-1,0.00,0.00,0.00,1.00
DL02,0.00,0.00,0.00,0.00
DL-02P,30.00,30.00,30.00,29.00
DL03,0.00,0.00,0.00,0.00
DL05,0.00,0.00,0.00,0.00
DL08,0.00,0.00,0.00,0.00
DL09,0.00,0.00,0.00,0.00
DL100,0.00,0.00,0.00,0.00
DL100P,0.00,0.00,0.00,0.00
DL200,0.00,0.00,0.00,0.00
DL220,0.00,0.00,0.00,0.00
DL300,0.00,0.00,0.00,0.00
DL311B,0.00,0.00,0.00,0.00
DL313,0.00,0.00,0.00,0.00
DL400,0.00,0.00,0.00,0.00
DL410L,1.00,1.00,1.00,1.00
DL410R,1.00,1.00,1.00,1.00
DL800,0.00,0.00,0.00,0.00
DL810,0.00,0.00,0.00,0.00
DL820,0.00,0.00,0.00,0.00
DL830,0.00,0.00,0.00,0.00
DL860A,0.00,0.00,0.00,0.00
DL860B,0.00,0.00,0.00,0.00
DL862,2.00,2.00,2.00,2.00
DL900B,0.00,0.00,0.00,1.00
DLS-HDR-1000B,0.00,0.00,0.00,0.00
DLS-HDR-1000N,0.00,0.00,0.00,0.00
DLS-HDR-1500B,2.00,2.00,2.00,2.00
DLS-HDR-1500N,3.00,3.00,3.00,1.00
DLS-HDR-2000B,0.00,0.00,0.00,0.00
DLS-HDR-2000N,0.00,0.00,0.00,0.00
DLS-HDR-2500B,17.00,17.00,17.00,17.00
DLS-HDR-2500N,6.00,6.00,6.00,6.00
DLS-HDR-3000B,0.00,0.00,0.00,0.00
DLS-HDR-3000N,2.00,2.00,2.00,3.00
DLS-HDR-5100N,3.00,3.00,3.00,3.00
DLS-HDR-M1000,0.00,0.00,0.00,0.00
DLS-HDR-M1500,1.00,1.00,1.00,1.00
DLS-HDR-M5100,46.00,46.00,46.00,46.00
DP-ANT,0.00,0.00,0.00,0.00
DP-BTG,0.00,0.00,0.00,0.00
DP-CSB,81.00,81.00,81.00,82.00
DP-FLG,0.00,0.00,0.00,0.00
DP-FLW,15.00,15.00,15.00,17.00
DP-FPL,48.00,48.00,48.00,49.00
DP-GFT,217.00,217.00,217.00,220.00
DP-LOCKTIGHT,4.00,4.00,4.00,5.00
DP-RWH,57.00,57.00,57.00,57.00
DP-SLW,0.00,0.00,0.00,0.00
DP-TOOL,85.00,85.00,85.00,88.00
DP-TSGP,15.00,15.00,15.00,15.00
DP-TSGP-G001,0.00,0.00,0.00,0.00
DP-TSGP-G002,0.00,0.00,0.00,0.00
DR-WBR,32.00,32.00,32.00,32.00
DS-CP-FM,0.00,0.00,0.00,1.00
DS-FM-S,1.00,1.00,1.00,1.00
DS-HM,0.00,0.00,0.00,0.00
DS-HM-S,0.00,0.00,0.00,0.00
DS-SS-FM,1.00,1.00,1.00,1.00
DS-SS-WM,10.00,10.00,10.00,10.00
EHDR-1000B,2.00,2.00,2.00,2.00
EHDR-1000N,0.00,0.00,0.00,0.00
EHDR-1500B,0.00,0.00,0.00,0.00
EHDR-1500N,2.00,2.00,2.00,2.00
EHDR-2000B,10.00,10.00,10.00,14.00
EHDR-2000N,2.00,2.00,2.00,2.00
EHDR-2500B,9.00,9.00,9.00,9.00
EHDR-2500N,2.00,2.00,2.00,2.00
EHDR-3000B,5.00,5.00,5.00,7.00
EHDR-3000N,2.00,2.00,2.00,2.00
EHDR-M1050,1.00,1.00,1.00,1.00
EHDR-M2050,0.00,0.00,0.00,0.00
EHDR-M2550,0.00,0.00,0.00,0.00
EHDR-M3050,0.00,0.00,0.00,2.00
EHDR-M5100,9.00,9.00,9.00,9.00
EHDR-M6100,8.00,8.00,8.00,7.00
EMP-ALP,52.00,52.00,52.00,52.00
EMP-CNB,0.00,0.00,0.00,0.00
EMP-CNP,0.00,0.00,0.00,0.00
EMP-DBC,198.00,198.00,198.00,198.00
EMP-KIT,0.00,0.00,0.00,0.00
EMP-RWB,15.00,15.00,15.00,15.00
EMP-WBR,0.00,0.00,0.00,0.00
F170,0.00,0.00,0.00,0.00
F172,0.00,0.00,0.00,0.00
FGC-PSQ,0.00,0.00,0.00,0.00
FIN001,0.00,0.00,0.00,0.00
FIN008,9.00,9.00,9.00,9.00
FLB10-1000B,0.00,0.00,0.00,0.00
FLB10-1500B,0.00,0.00,0.00,0.00
FLB10-2000B,0.00,0.00,0.00,0.00
FLB10-3000B,18.00,18.00,18.00,18.00
FLB12-1000B,1.00,1.00,1.00,1.00
FLB12-1500B,2.00,2.00,0.00,0.00
FLB12-2000B,0.00,0.00,0.00,0.00
FLB12-3000B,16.00,16.00,16.00,15.00
FLB12-M3000,0.00,0.00,0.00,4.00
FLB12-M6000,0.00,0.00,0.00,0.00
FLB15-1000B,3.00,3.00,3.00,2.00
FLB15-1500B,1.00,1.00,1.00,1.00
FLB15-2000B,0.00,0.00,0.00,0.00
FLB15-3000B,21.00,21.00,21.00,20.00
FLB15-M3000,0.00,0.00,0.00,0.00
FLB15-M6000,0.00,0.00,0.00,0.00
FLB-19.06*3.18,0.00,0.00,0.00,0.00
FLB19-1000B,0.00,0.00,0.00,1.00
FLB19-1500B,0.00,0.00,0.00,0.00
FLB19-2000B,2.00,2.00,2.00,0.00
FLB19-3000B,21.00,21.00,21.00,23.00
FLB25-1000B,4.00,4.00,4.00,4.00
FLB25-1500B,0.00,0.00,0.00,0.00
FLB25-2000B,1.00,1.00,1.00,1.00
FLB25-3000B,2.00,2.00,2.00,2.00
FLB25-M3000,0.00,0.00,0.00,0.00
FLB25-M6000,0.00,0.00,0.00,0.00
FT-50,3.00,3.00,3.00,3.00
FT-52,4.00,4.00,4.00,4.00
FT-52-S,0.00,0.00,0.00,0.00
FT-53,7.00,7.00,7.00,7.00
FT-53-S,0.00,0.00,0.00,0.00
GA0002,0.00,0.00,0.00,2.00
GAC001,0.00,0.00,0.00,0.00
GAC002,11000.00,11000.00,11000.00,11838.00
GAS001,8500.00,8500.00,8500.00,9089.00
GAS002,8000.00,8000.00,8000.00,8984.00
GC-501,0.00,0.00,0.00,0.00
GC-502,0.00,0.00,0.00,0.00
GC-504,0.00,0.00,0.00,0.00
GC-701,159.00,159.00,159.00,180.00
GC-701-D,40.00,40.00,40.00,40.00
GC-701-D-S,100.00,100.00,100.00,100.00
GC-701-S,127.00,127.00,127.00,127.00
GC-702,352.00,352.00,352.00,350.00
GC-702-S,0.00,0.00,0.00,0.00
GC-703,256.00,256.00,256.00,258.00
GC-704,444.00,444.00,444.00,441.00
GC-705,113.00,113.00,113.00,33.00
GC-705-S,0.00,0.00,0.00,84.00
GC-706,47.00,47.00,47.00,45.00
GC-706-S,100.00,100.00,100.00,100.00
GC-801,0.00,0.00,0.00,2.00
GC-801-B,7.00,7.00,7.00,7.00
GC-801-D,515.00,515.00,515.00,519.00
GC-801-S,148.00,148.00,148.00,148.00
GC-802,218.00,218.00,218.00,39.00
GC-802-B,0.00,0.00,0.00,0.00
GC-802-S,127.00,127.00,127.00,128.00
GC-803,86.00,86.00,86.00,77.00
GC-803-B,0.00,0.00,0.00,0.00
GC-803-S,117.00,117.00,117.00,116.00
GC-804,667.00,667.00,667.00,761.00
GC-804-B,0.00,0.00,0.00,0.00
GC-804-S,44.00,44.00,44.00,44.00
GC-805,158.00,158.00,158.00,158.00
GC-805-S,65.00,65.00,65.00,67.00
GC-806,264.00,264.00,264.00,266.00
GC-806-S,72.00,72.00,72.00,72.00
GC-807,375.00,375.00,375.00,371.00
GC-807-S,14.00,14.00,14.00,14.00
GC-901,692.00,692.00,692.00,690.00
GC-902,71.00,71.00,71.00,66.00
GC-903,8.00,8.00,8.00,18.00
GC-904,171.00,171.00,171.00,166.00
GC-905,142.00,142.00,142.00,142.00
GC-906,0.00,0.00,0.00,0.00
GCL001,0.00,0.00,0.00,0.00
GCL002,0.00,0.00,0.00,0.00
GCL003,0.00,0.00,0.00,0.00
GDH-602,0.00,0.00,0.00,0.00
GDH-603,18.00,18.00,18.00,18.00
GDH-604,716.00,716.00,716.00,718.00
GDL-0041,85.00,85.00,85.00,88.00
GDL-0061,33.00,33.00,33.00,43.00
GDL-0061P,0.00,0.00,0.00,0.00
GDL-0061S,0.00,0.00,0.00,0.00
GDL-0062,33.00,33.00,33.00,43.00
GDL-0062P,0.00,0.00,0.00,0.00
GDL-0062S,0.00,0.00,0.00,0.00
GFC002,4000.00,4000.00,4000.00,4440.00
GFH002,1000.00,1000.00,1000.00,1300.00
GL5,0.00,0.00,0.00,0.00
GL8,0.00,0.00,0.00,0.00
GL-801,0.00,0.00,0.00,0.00
GL-802,0.00,0.00,0.00,0.00
GR-SCR-A2-M06,50.00,50.00,50.00,50.00
GSG-2030-SN,95.00,95.00,95.00,57.00
GSG-2525-SH,7.00,7.00,7.00,7.00
GSG-2525-SN,38.00,38.00,38.00,101.00
GSG-3030-CH,0.00,0.00,0.00,0.00
GSG-3030-SH,82.00,82.00,82.00,105.00
GSG-3030-SN,46.00,46.00,46.00,53.00
GSG-5525-CH,4.00,4.00,4.00,4.00
GSG-5525-SH,1.00,1.00,1.00,1.00
GSH-101,0.00,0.00,0.00,0.00
GSH-102,445.00,445.00,445.00,445.00
GSH-102-S,65.00,65.00,65.00,65.00
GSH-201,186.00,186.00,186.00,137.00
GSH-201-S,0.00,0.00,0.00,0.00
GSH-202,322.00,322.00,322.00,450.00
GSH-202-S,0.00,0.00,0.00,0.00
GSH-203,897.00,897.00,897.00,897.00
GSH-203A,807.00,807.00,807.00,807.00
GSH-203-B,0.00,0.00,0.00,0.00
GSH-203-FIN,70.00,70.00,70.00,71.00
GSH-203G,0.00,0.00,0.00,2.00
GSH-203G-B,0.00,0.00,0.00,0.00
GSH-203-S,32.00,32.00,32.00,32.00
GSH-203W,23.00,23.00,23.00,24.00
GSH-203W-B,0.00,0.00,0.00,0.00
GSH-301,263.00,263.00,263.00,264.00
GSH-301-S,49.00,49.00,49.00,49.00
GSH-401,335.00,335.00,335.00,333.00
GSH-401-S,200.00,200.00,200.00,200.00
H100T,162.00,162.00,162.00,162.00
HDR-135DC,0.00,0.00,0.00,0.00
HDR-8MM-GAS-PM,235.00,235.00,235.00,235.40
HDR-90DC,0.00,0.00,0.00,0.00
HDR-ANO-BPS,0.00,0.00,0.00,0.00
HDR-DAM-MIL-PM,0.00,0.00,0.00,0.00
HDR-DAM-PM,0.00,0.00,0.00,0.00
HDR-FL-CON,500.00,500.00,500.00,529.00
HDR-FL-PRO,0.00,0.00,0.00,0.00
HDR-HR90,96.00,96.00,96.00,97.00
HDR-HRR,192.00,192.00,192.00,192.00
HDR-HRW,300.00,300.00,300.00,300.00
HDR-PM,0.00,0.00,0.00,0.00
HDR-WBR,349.00,349.00,349.00,349.00
HMP-1000,0.00,0.00,0.00,2.00
HMP-2000,1.00,1.00,1.00,0.00
HMP-3000,216.00,216.00,216.00,218.00
HMPH-1000B,0.00,0.00,0.00,0.00
HMPH-1500B,0.00,0.00,0.00,0.00
HMPH-3000P,0.00,0.00,0.00,0.00
HNG-RL-1000B,0.00,0.00,0.00,2.00
HNG-RL-1000N,3.00,3.00,3.00,1.00
HNG-RL-1500B,1.00,1.00,1.00,0.00
HNG-RL-1500N,1.00,1.00,1.00,0.00
HNG-RL-2000B,1.00,1.00,1.00,0.00
HNG-RL-2000N,1.00,1.00,1.00,3.00
HNG-RL-2000W,1.00,1.00,1.00,1.00
HNG-RL-3000B,8.00,8.00,8.00,8.00
HNG-RL-3000N,14.00,14.00,14.00,14.00
HNG-RL-M0750,0.00,0.00,0.00,0.00
HNG-RL-M1050,2.00,2.00,2.00,2.00
HNG-RL-M1500,1.00,1.00,1.00,1.00
HNG-RL-M2550,0.00,0.00,0.00,0.00
HNG-RL-M3050,1.00,1.00,1.00,1.00
HNG-RL-M6100,12.00,12.00,12.00,12.00
HRG001,2.00,2.00,2.00,2.00
HRG006,0.00,0.00,0.00,0.00
