Item Code,Bin
CSLT-2000MB,Metal on Rack next to seal 
CSLT-2500B,Metal on Rack next to seal 
CSLT-3000N,Metal on Rack next to seal 
DLS-HDR-3000B,Metal on Rack next to seal 
HMP-2000,Metal on Rack next to seal 
I-CHL-8-20MB,Metal on Rack next to seal 
I-CHL-8-30B,Metal on Rack next to seal 
I-CHL-8-30BR,Metal on Rack next to seal 
SLHR-2500N,Metal on Rack next to seal 
U-CHL-10-20MB,Metal on Rack next to seal 
EHDR-2000B,Metal on Rack next to seal 
EHDR-2500B,Metal on Rack next to seal 
MCP-3001N,Metal on Rack next to seal 
SLHR-3000B,Metal on Rack next to seal 
SLHR-3000N,Metal on Rack next to seal 
EHDR-3000B,Metal on Rack next to seal 
DLS-HDR-2500N  ,Metal on Rack next to seal 
I-CHL-8-30N,Metal on Rack next to seal 
MPW-2500N,Metal on Rack next to seal 
SLHR-2500B,Metal on Rack next to seal 
SIL600,Hardware 1
HDH-611-90,Hardware 2
HDH-612-180,Hardware 2
6*12-WASH,Hardware 3
6*14-WASH,Hardware 3
6*17-STR,Hardware 3
BHDR-KIT,Hardware 3
BHDR-KIT-EXB,Hardware 3
BUCW-WG12,Hardware 3
CLV-GH,Hardware 3
HDR-HR90,Hardware 3
SLHR-KIT,Hardware 3
SLHR-KIT-EXB,Hardware 3
SRW-001,Hardware 3
VIAL-16ML,Hardware 3
VIAL-CAP,Hardware 3
VIT-0015L,Hardware 3
HDR-HRR,Hardware 3
HDR-HRW,Hardware 3
JCC-RAL,Hardware 3
M8*70-CSS,Hardware 3
N10*70-CSKSS,Hardware 3
P4140C         ,Hardware 3
P4140S         ,Hardware 3
PT-AP-GL,Hardware 3
PT-AP-UN,Hardware 3
PT-PR,Hardware 3
6*17-STR,Hardware 4
ALU-FLP,Hardware 4
ARE-AP-135,Hardware 4
ARE-AP-180,Hardware 4
ARE-B1912,Hardware 4
ARE-EPF-A,Hardware 4
ARE-EPF-BL,Hardware 4
ARE-EPF-BR,Hardware 4
ARE-EPF-CH,Hardware 4
ARE-EPF-N,Hardware 4
ARE-EPF-WH,Hardware 4
ARE-EPL-A,Hardware 4
ARE-EPL-BL,Hardware 4
ARE-EPL-BR,Hardware 4
ARE-EPL-CH,Hardware 4
ARE-EPL-N,Hardware 4
ARE-EPL-WH,Hardware 4
ARE-EPS-A,Hardware 4
ARE-EPS-BL,Hardware 4
ARE-EPS-BR,Hardware 4
ARE-EPS-CH,Hardware 4
ARE-EPS-N,Hardware 4
ARE-EPS-WH,Hardware 4
ARE-FB,Hardware 4
ARE-FB90,Hardware 4
ARE-FBA,Hardware 4
ARE-FDS,Hardware 4
ARE-FG,Hardware 4
ARE-GP,Hardware 4
ARE-HA-A,Hardware 4
ARE-HA-BR,Hardware 4
ARE-HB,Hardware 4
ARE-HBM,Hardware 4
