Code,Bin Name,COUNT 1,COUNT 2,COUNT 3
PT-ADJ-AP,Hardware 3,,,
LOCKTIGHT,Hardware 3,,,
OIL3IN1,Hardware 3,,,
BT-4850,Hardware 2,,,
MT-2440,Hardware 2,,,
NANO-KIT,Hardware 3,,,
NANO-ORB,Hardware 3,,,
NANO-CLE301,Hardware 3,,,
NANO-CLE301-500,Hardware 3,,,
NANO-E2C105,Hardware 3,,,
NANO-E2C105-500,Hardware 3,,,
NANO-E2C113,Hardware 3,,,
NANO-E2C113-500,Hardware 3,,,
CS-ACT,Hardware 3,,,
CS-CAC-300,Hardware 3,,,
CS-CAC-500,Hardware 3,,,
CS-CON-250,Hardware 3,,,
CS-CON-500,Hardware 3,,,
CS-DBS,Hardware 3,,,
CS-DEMO,Hardware 3,,,
CS-HHDB,Hardware 3,,,
CS-LIM-500,Hardware 3,,,
CS-MFC,Hardware 3,,,
CS-MS,Hardware 3,,,
CS-NEU-500,Hardware 3,,,
CS-PCC-500,Hardware 3,,,
CS-RP-500,Hardware 3,,,
CS-SBP-500,Hardware 3,,,
CS-SHP-500,Hardware 3,,,
CS-TB,Hardware 3,,,
CS-TBSL,Hardware 3,,,
CS-UDB,Hardware 3,,,
SRHW-000P,Hardware 3,,,
SRHG-000P,Hardware 3,,,
SRHG-000MB,Hardware 3,,,
SRDW-000P,Hardware 3,,,
SRDG-000P,Hardware 3,,,
SHOW-000P,Hardware 3,,,
SHOG-000P,Hardware 3,,,
OXB-792P,Hardware 3,,,
SSH-000P,Hardware 4,,,
SSD-000P,Hardware 4,,,
SSB-000P,Hardware 4,,,
SRI-000P,Hardware 4,,,
SGS-345P,Hardware 4,,,
SGS-000P,Hardware 4,,,
STA-TBH-C,Hardware 4,,,
